project,from, to,age,number_of_commits,number_of_releases, new_version,new_number_of_source_files,new_number_of_header_files,new_loc,new_kloc,old_version,old_number_of_source_files,old_number_of_header_files,old_loc, old_kloc , commit_interval
Andersbakken/rtags, 18-Jul-2011, 28-Jun-2017,72,7023,15, 005e5569366b519850f0ae5b78f618f4d67d8785,110,154,52520,53, b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,100,184,44622, 45 ,60
Bertram25/ValyriaTear, 16-Feb-2012, 27-Jun-2017,65,3483,9, 97fceb85691e90dd8788221bdb8b9132c24c6148,132,362,191391,191, 99cc26a8c76d05d9bdc82fe9213e5fd39050d218,162,174,105371, 105 ,60
ChaiScript/ChaiScript, 25-May-2009, 22-Feb-2017,94,1994,60, 064a385a645c89c8b958b754f0d5e8399b9b6df9,23,52,33207,33, e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,42,35,16740, 17 ,51
DGtal-team/DGtal, 3-Mar-2010, 3-Jul-2017,89,9092,10, 06bf04a64ace2cf4fceb8aae2a66ca27897848a2,427,487,276919,277, 1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,226,291,143099, 143 ,60
FreeCAD/FreeCAD_sf_master, 10-Oct-2011, 18-Mar-2017,66,10574,5, e3d55841065cc22b32eda7ff53a648698c748562,1741,1505,940987,941, 0ec1c40d255bee91c0a745457a4528b612f1fe10,1399,1178,695939, 696 ,60
GollyGang/ready, 3-Sep-2010, 27-Jun-2012,22,1440,11, f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,35,37,24077,24, 6800b29d331505a8c94897a1565760dcc50c62ca,65,51,54891, 55 ,60
H-uru/Plasma, 12-Mar-2011, 30-May-2017,75,2011,2, 76f136261c9bc88b3cb6e9e70e63f54e64bcd416,1059,1195,689894,690, d382da0fe7823fe8c61949365c757a5bddd8182b,1122,1287,688934, 689 ,61
InsightSoftwareConsortium/ITK, 24-Jan-2000, 3-Jul-2017,212,47243,110, 07cb23f9866768b5f4ee48ebec8766b6e19efc69,63,3342,1304401,1304, 35e3315e0248df1fa93ba4b0c90f4a49162d8abe,33,3156,1098383," 1,098 ",60
Itseez/opencv, 11-May-2010, 15-Mar-2017,83,21115,51, c1007c7276e889f5f284702515a60b6799df9cd7,1167,908,935239,935, fd31234122a73e5585bccd9ca83cb2401967113f,754,428,579572, 580 ,60
KDAB/GammaRay, 18-Jul-2010, 15-Mar-2017,81,5462,29, 3d5cdd5353645676a23aafd9b8b1917694da3d87,520,477,121376,121, c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,143,149,32024, 32 ,60
Kazade/kazmath, 14-Aug-2008, 23-Feb-2017,103,355,0, 3b2de632783d5f566217094034a2a3366bf6efe6,7,40,25264,25, e25d39df2f289a3d06fc3e2318cf61bdedf23b71,11,26,23237, 23 ,60
KhronosGroup/OpenCOLLADA, 2-Jul-2008, 8-Mar-2017,105,1806,56, 5c548d2fc16ef35aa275eb207c111e27332f8b56,449,1352,877351,877, 428019272e7af8608b9c3e05f9ae1c30187b5325,414,1317,855545, 856 ,60
KiCAD/kicad-source-mirror, 6-May-2007, 3-Jul-2017,123,13948,16, 2300697f0297ac64dd2ec3b38882bc670fbaef01,1559,919,761474,761, 474128a4452a9868e3e906fde219d665a795a530,1016,2902,792372, 792 ,59
Kitware/CMake, 29-Aug-2000, 18-Mar-2017,201,35380,91, 14f0378e103fd24915712cb94c98265ad18c8736,430,1045,319462,319, 81cdab5beaffc7665550710b84006a0a7ce76cfa,60,592,239161, 239 ,61
KitwareMedical/TubeTK, 21-Jan-2010, 19-Jun-2017,90,5677,0, 4950ed986022d5248561dacdee7c2b043c9e80ac,2,211,83826,84, 357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6,1,69,39959, 40 ,60
LaurentGomila/SFML, 28-Jan-2009, 20-Feb-2017,98,2070,12, 756cb09bc3caf7b543c495f9c40d3a48bdf31428,146,269,111501,112, 2de690f02db4114ff41142c152ed94a944aee265,107,172,110702, 111 ,60
LiberatorUSA/GUCEF, 1-Dec-2007, 11-Jun-2017,115,1121,0, 408b884adfb4ff62a5b7ec30798d704b91836d25,3726,6179,2911267,2911, 6f8c0d256bb7bf729c9ab3c0806d3ffca1831287,1374,2160,711123, 711 ,60
ManaPlus/ManaPlus, 2-Jan-2011, 28-Jun-2017,78,11295,205, 4541175c81e5de39a3118729b7f5997d251b3d35,706,1101,339148,339, c01aec243610016c2cd5e4211fee484627bc69ea,357,409,175382, 175 ,60
MyGUI/mygui, 7-Mar-2008, 16-Mar-2017,109,8339,6, d079917c3b8f448c3c4d06eb593272799a93d124,472,740,218288,218, 027f13b57a03ec258b50ba066e4b73deebd25f0d,383,642,156096, 156 ,60
RainerKuemmerle/g2o, 12-Jan-2012, 11-Jun-2017,65,846,2, deafc01ee8315b9405351fb145238c5d62f82dc7,230,273,76538,77, 8dec86fc74050a2d77c3fad0a010aa5c3a6a1010,170,208,52791, 53 ,60
SINTEF-Geometry/GoTools, 19-Jun-2009, 2-Nov-2017,101,1306,1, fe9c60cda04c18494eefbd03635a893ddf85ab07,886,510,539707,540, 82831d8f253b143e16d55b9fd266d3169e21c6da,886,510,539707, 540 ,58
SimTk/openmm, 15-Apr-2008, 28-Jun-2017,112,5664,17, feb79f770145bb12c99bbe058e29d077a381465d,554,457,310494,310, c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44,462,392,241296, 241 ,60
Slicer/SlicerExecutionModel, 28-Mar-2010, 15-Jun-2017,87,277,0, 1d3e9a226bd594f23733993c16c337ba60077bc5,9,40,16629,17, b6125d3f5f29f7395fee060a0a0bb04409818ad4,9,37,16716, 17 ,60
SupSuper/OpenXcom, 25-Jan-2010, 15-Mar-2017,86,7672,7, bcb0a0cd60f83576484977824c6522f4e3e8e86b,313,329,171655,172, 3d8a9b0ed655347f2e239f1773d8fcd6a62dddf5,210,219,76485, 76 ,60
SuperTux/supertux,9-Apr-03,8-Aug-16,162,8882,29,0fb271c8711c141eb5b30314668c90d7d75fb7f1,747,734,334330,334,3918a884872e4e92805cf1476bd59db5ebf41431,679,686,325973, 326 ,59
TUM-I5/ASAGI, 3-Jan-2012, 11-Apr-2017,64,364,6, f633f96931ae00805f599078d5a1a6a830881554,81,286,37569,38, a0cd4e117c2b95035644cf6a3365d0cdfef5f784,76,239,26179, 26 ,60
TigerVNC/tigervnc, 20-Mar-2008, 17-Mar-2017,109,3826,25, 53f520567202928f908b5f94f6d143e7067a8bdd,3,234,60766,61, 0878eca6aa47106a24fee53ab3791c677fdfefbe,6,468,195114, 195 ,60
Vatsinator/Vatsinator, 5-Apr-2012, 30-Jul-2014,28,1444,3, f80c21059afb89e8baec154283d3e8f12c62db30,99,160,39407,39, b1b13d5f5738ae6876e571ad3d4c24d844c8af7b,60,64,13148, 13 ,54
VcDevel/Vc, 2-Apr-2009, 8-Jun-2017,99,6150,28, 9e6ec672ba8d9c085213291d95be009ed5838493,60,156,55238,55, 298f0440ab61c10b92ccfad709d15017ebd51066,27,77,21325, 21 ,60
Zeex/samp-plugin-jit, 23-Feb-2012, 14-Jan-2017,59,923,35, cc93e169de9c136ce0f8f02c4f721aa17569d630,45,58,65387,65, 38ab1abd4c8b0a4f0b101c13ffec71bc8939f29c,45,54,51539, 52 ,49
Zeex/samp-plugin-profiler, 19-Jul-2011, 15-Jan-2017,66,803,35, 48042dfd560b07cc727887cf15da1a5245d4b725,32,41,7128,7, f037c40e9706aa5e9d858d65eead648b6e725be9,21,32,4744, 5 ,60
alecthomas/entityx, 20-Sep-2012, 21-Feb-2017,53,351,9, de3fd13d72d82b507469a3ed8798d483df6bc5d1,28,12,12738,13, 59f62b5c0df10be433b9380777e4d5a649d03d95,24,5,1715, 2 ,52
alembic/alembic, 27-Jul-2010, 30-May-2017,83,1592,11, 048eb1201a37ed309909c1ac4e168968e1730b58,325,253,139031,139, 277684c561f6e6c1d6a3bfba4bdb6c83e5618978,211,194,94054, 94 ,61
arx/ArxLibertatis, 15-Jan-2011, 1-Jul-2017,78,14876,10, c5c4e4668edb402fd55dfeeb462fe4ae3d85b1d1,286,319,162895,163, bb2893ca91989a9929b4e54ac9fdb092f7fe4dda,188,216,176566, 177 ,59
biometrics/openbr, 19-Dec-2012, 8-Jun-2017,54,3761,13, d0fcef6248cdca941ad29bf40adae7d5a27b158a,1053,506,221331,221, 927b7781d935f4953351e0436717bc3d124040a3,654,417,157634, 158 ,53
brezerk/q4wine, 15-Sep-2008, 29-May-2017,105,1342,26, edf81923f1f834c11876b4982e8548faacdbd2bf,62,58,31852,32, 828f8c4bbd9dc45e1f8d5ea70cf95a19a9715779,58,53,29619, 30 ,60
brndnmtthws/conky, 20-Jul-2005, 11-Feb-2017,140,3760,33, a58a6d4e081ca6ab241f20fcae80a6b6c31bf1c9,72,79,40531,41, 0e1f4526b425401a4ef882b5b1f104384e1f3c15,71,75,38151, 38 ,50
bro/bro, 27-Sep-2010, 27-Jun-2017,82,8352,28, b527a9870da02e053e08803083f271b6f5eb28c1,415,418,207551,208, 34ead91f992cbc40dcb81053343e2ef60a3aff61,268,334,175250, 175 ,60
bro/pysubnettree, 4-Nov-2010, 5-Jun-2017,80,183,16, 812f158ab98f3a46d50a0288fbd4d7692f9de651,2,2,6251,6, 00cc7fa9a53410cff1369501eb3d4ae28ca4bc9d,2,2,5851, 6 ,60
casadi/casadi, 1-Dec-2010, 25-May-2017,78,12743,60, 64b7712a548e929515ba68b271e60c42546742ef,214,349,166003,166, f023bea7221d67bc60f7211fbe8dc2bbdcb1b9da,215,219,93490, 93 ,60
chenshuo/muduo, 12-Mar-2010, 23-May-2017,87,760,53, 44879bf25ff60187dcaa938a637d6ec50fd8531d,206,93,32882,33, 8d8868e7a55cfa11c094a8efb9ee1884a9349d03,142,70,19267, 19 ,60
christopho/solarus, 27-Jul-2006, 3-Apr-2017,130,11198,56, cc30297016e6deb1fbcd0b49f07e6c2059645014,213,216,108976,109, 903d97ddca870ca89532118e7ec7590b8f1dec3d,175,186,77446, 77 ,59
cinemast/libjson-rpc-cpp, 30-Dec-2012, 29-May-2017,53,947,13, c2453c967b2059eeb77a387a0827c0cf87f816e0,61,50,9960,10, 546d7083118fea9531342becd030069804b39a43,10,21,7468, 7 ,53
clintbellanger/flare-engine, 3-Jun-2011, 14-Mar-2017,70,5645,7, 4fcdc4939a3544a5823b782dd90ae5b244a0eb10,109,108,51027,51, f2918d2ce7d8176c8a33445e8bb33dccab93f909,65,64,22310, 22 ,60
cmangos/mangos-classic, 13-Oct-2008, 1-Jul-2017,106,5622,1, 806a7883c5827925450f89e0d280f6c967357c50,571,643,521633,522, 343d5851ef8053d17c9d540f071744a86fd323d5,566,605,493507, 494 ,60
cmangos/mangos-wotlk, 26-Mar-2009, 4-Jul-2017,100,8737,12, 73cb0915ecfdd2694a0b7aa4bd9ba56e975638db,855,696,691648,692,5c72a7f8302399a9c041acacf377c08d89d77a8e,861,672,681078, 681 ,60
colobot/colobot, 8-Mar-2012, 29-May-2017,63,2932,15, 92a8140b778675a769440dc206b11b8012734bff,294,355,211524,212, f67a62fb28c882b1650b827730bac72f404e2c47,155,152,160285, 160 ,61
commontk/CTK, 9-Mar-2010, 28-Jun-2017,88,5469,0, f96b5014aac1d76468f03a708446cd334a8aba84,976,722,252287,252, 2ace7a3a58f1fe00fa47494c73966afce2d81ea0,789,571,191394, 191 ,60
commontk/DCMTK, 2-Nov-1995, 21-Apr-2017,261,8986,0, d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d,909,964,817486,817, ecf4c70f605b28b79e490dbd0fc7d0e203e5d5c8,495,545,459367, 459 ,60
cppformat/cppformat, 7-Dec-2012, 11-Mar-2017,51,2636,15, c03f55ec3a0511611fa7f0537f858544a0ed03bd,28,15,60249,60, 251e8774b010b0e21ac774bd3196aabcd2f3b2d2,5,2,4910, 5 ,51
ddemidov/vexcl, 18-May-2012, 14-Mar-2017,58,1794,57, 9da8cb44da3cce1b3f1542fb4615069a208470ee,53,104,54125,54, 6cf94a715c054e9214c59b51fa3861fd7eca5f9d,9,20,13242, 13 ,51
deskvox/deskvox, 17-Nov-2005, 1-Jun-2017,140,3172,2, 96e52235b5397d800f15971594327bdd3d7eacc0,146,207,107180,107, 9dc865c914b037299da11901c5a793cb6ff824d7,95,109,86309, 86 ,60
dorkster/flare-engine-next, 3-Jun-2011, 25-Jun-2017,73,6088,7, def388a7eecbfb2ac750e6b20507d5272d723dfc,112,112,65520,66, 5c74d8c8a954c2ea367c69a8efc8a60ce69ec892,73,73,26482, 26 ,60
edubart/otclient, 8-Nov-2010, 13-May-2017,79,2584,9, 8c731ac016d95407eed6c2767945a97fbdd4fa83,151,179,65159,65, c01b32b03255989497ca5331de898804e6a39a1b,110,139,41163, 41 ,60
elemental/Elemental, 20-Mar-2010, 17-May-2017,87,3908,13, 351bc9460dcc58be62e9b42902e49640a97c0b0e,562,676,341979,342, f96177ebcc0ad2a6598579df0d9fcae1babe26f5,71,304,139019, 139 ,60
esa/pagmo, 4-Dec-2008, 11-May-2017,102,2653,3, 60d8566e2e771975fc84712fb46866007f9b3400,238,492,209761,210, ea8777a49c9e8e6bff2e7ae9b7a45d419f223490,172,436,132339, 132 ,53
facebook/mysql-5.6, 31-Jul-2000, 28-Mar-2012,141,112567,125, 037c4910b360633160d97cc002c60576dea85393,1219,1481,1781708,1782,45f59a05cc6bcf72aa9322f5802cee6a6f98c211,1185,1432,1705255," 1,705 ",60
freundlich/fcppt, 13-Dec-2009, 2-Jul-2017,91,2597,30, 652b63c63e241376f535a470874adbcbd4e7f623,488,1430,139747,140, 6b8d0816c20b28ef52a568f6fb1f4f9f5e5078e2,263,920,82733, 83 ,59
freundlich/mizuiro, 12-Jun-2009, 6-May-2017,96,547,0, e1a77ff94cf11f5d2515424a923886cb62cb02dc,31,682,41057,41, 4f5fe1d02598404283d3783333cddda87dc7418e,22,372,24737, 25 ,53
gnuradio/gnuradio, 3-Aug-2006, 15-Mar-2017,129,12432,86, ac5109d25a9d94386429dd9e806268d29c8e2aac,732,1375,294372,294, fd52df0f706195d937e287189024f8aa6fbeaf60,564,902,178702, 179 ,60
hluk/CopyQ, 21-Oct-2009, 19-Mar-2017,90,3764,72, 652ea527c37902566da9bcb152af3d1753426d4e,138,157,69964,70, 313d9245bb907d61b8e1b8530246d9033302e97b,31,23,12896, 13 ,60
hpcc-systems/HPCC-Platform, 11-Jul-2011, 16-Mar-2017,69,19834,373, f2e903ffa48a4468f3718d516e240bd288719708,1077,1018,1138133,1138,a2eb7f9cb93700e77e38cbd31ed47af187229b5b,966,912,989062, 989 ,60
imageworks/OpenColorIO, 16-Jun-2010, 22-Jun-2017,85,815,39, 6b744f2b4543d16f77b3fe19ae05b67c56a13673,117,58,61547,62, b7d58e7fbd0dea7924c6c73ab4fec8739b7ef63d,113,65,61488, 61 ,54
jbeder/yaml-cpp, 25-Jun-2008, 7-Mar-2017,105,1186,14, 0fdb1b910c1a31db80b7521446166d06cad10813,145,110,188819,189, c335c8dd753c2b5f456a42e6dc33da16b7203713,42,68,27212, 27 ,51
juj/MathGeoLib, 31-Aug-2011, 20-Jun-2017,70,1911,6, 07680b7cfcca72c3f852dd248eb26e4ca3e26530,70,69,64960,65, 662276c250314488cb2e76dbb65c32c6ed1684c3,30,51,34072, 34 ,60
koreader/crengine, 14-Mar-2007, 8-Jun-2017,124,4139,0, d0854294e0a9259d9c160b5fe9c91a123a63528b,281,628,352895,353,82509784f8e1fdbf9998f2806ace69babff9e15c,279,593,333073, 333 ,60
lalinsky/chromaprint, 24-Jul-2010, 4-Mar-2017,80,425,16, 22daf0e01ce46145d916112094997c3003c298c8,49,62,10295,10, 33307a55f21f3bebbcb901ae525d4f383b0a0181,56,53,10226, 10 ,53
ledger/ledger, 29-Sep-2003, 26-Oct-2017,171,6508,28, bc8136fa6fbb74febee99735c8bd603b1f12ddef,76,63,51364,51, 63a14fd5e0aeb64a0508ddac71803acc926425c5,74,60,49788, 50 ,59
libpinyin/libpinyin, 27-Jul-2010, 7-Mar-2017,80,1932,49, 2919d7d4b9facf175d4da33418dfbb9945f4bb15,63,54,40939,41, 230ee9362a2908e982ff7ff1766d070249cac5ca,48,29,24248, 24 ,60
libspatialindex/libspatialindex, 1-Aug-2007, 20-Apr-2017,118,465,3, 4768bf3e9ce5ab80c639a6017f5c1e9d093ea515,132,88,117018,117, 9a39ed4c01ce4f5f54e236d716f467a22aca6968,57,54,30943, 31 ,60
lightspark/lightspark, 23-Nov-2008, 7-Jan-2017,98,6185,45, 308241eb55c5379765033e60f28dfdd956c7abcd,197,290,165591,166, 18956fb0c94992f98f707af12b4b107ed4631d25,84,86,75014, 75 ,60
lotem/librime, 17-Mar-2011, 19-Feb-2017,72,1265,12, 7f41f6527ffedcfccc16f7e4b93a3048f33cf19e,600,517,467900,468, bb1f48a36a835bd31dd7cb64c4faf738c80cc75d,70,78,24870, 25 ,60
lxde/pcmanfm-qt, 19-Aug-2012, 17-Jan-2017,53,739,12, 1d38bbd24b4b51f52bbf8a7f1e9237f0ccd37766,15,14,7916,8, 62990ca3954c0ab70d44d4381830b1d2d961c393,8,7,1265, 1 ,53
mangosthree/server, 26-Mar-2009, 3-Jul-2017,100,8194,9, 3014c5b370139db835dba70e860841e322b17849,742,382,563602,564,a4fe021054f1ae4779d4a1d44c2954871b72333b,1356,1444,1014776," 1,015 ",60
mavam/libbf, 17-May-2011, 29-Jun-2017,74,122,1, b6189bf6204d662294c9796f5f0e268251b5cebc,12,20,4526,5, aafb2f1ab750b1a0d652aedea684123a1fbb0504,5,18,2745, 3 ,61
mempko/firestr, 31-Jul-2012, 17-Jun-2017,59,2002,0, 127c15179382ed9a032ffdda629750bb28f3aea0,74,109,48402,48, 727b20eb6c16a8ee5e438abd7cc8c4b2b28f26ad,39,44,20258, 20 ,54
mickem/nscp, 14-Feb-2005, 28-Jun-2017,150,2197,126, f7a2c746ac423095fc2d5105ff7ba98a2721b8bf,505,653,327337,327, 9fdde883b0ac8028232a6bd89466070861d0a8d3,404,601,227899, 228 ,61
mlpack/mlpack, 13-Mar-2007, 18-Mar-2017,121,17836,25, 36470e9f6d3bf8d2f5e9202675c46b528881e4c1,200,625,171477,171, cd12d5a188663151a0f6a5f1db07a7cb4a2f377a,72,145,43148, 43 ,60
mosra/corrade, 10-Jul-2010, 20-Jun-2017,84,2210,9, 29612cc341633fa26c4c74c55920cb21ed4dd0ed,98,62,31038,31, 402305e9e3f15dcb04e6f698e55f26d163f1fde5,34,33,7841, 8 ,60
msoos/cryptominisat, 10-Aug-2009, 16-Jun-2017,95,10873,13, 71e49ac7de4d3c104defa24556f92fbb8dded517,162,126,113188,113, 82c91dbfc7f585e455da835c330017811ebc058f,111,86,86980, 87 ,60
musescore/MuseScore, 24-May-2012, 8-Mar-2017,58,14022,7, b520dcaf3c88b06d2e418adbe187806c37a6aaf0,709,1007,657953,658, 3a836d7fd60ffbc608679d3d7f4a2851f87e2273,447,435,276601, 277 ,52
nickbruun/hayai, 7-Feb-2012, 5-May-2017,63,145,3, 6959ca187e845f7fef1f0aa4704cbe695a8e2e45,80,49,89592,90, c9d74ca1e78837c1d92a9dfa61138c60e286746a,7,9,2792, 3 ,60
openclonk/openclonk, 30-Sep-2011, 26-Jun-2017,69,11514,18, 3a2c68dcc98ba47ff38ffe9cc643ecf941efe7d3,278,275,243087,243, 416a65acde056d1612ae2ab65bbadd56c250a71f,230,227,208031, 208 ,60
opengm/opengm, 1-Jun-2012, 23-Jun-2017,61,2148,3, 3deaea58ba0cf9708c25cd03502e1cd9abec8875,31,6,37293,37, 9b059056ab99ed58072b5a092a23f2e4c4908386,0,1,13520, 14 ,61
openscenegraph/osg, 10-Jan-2001, 18-Mar-2017,197,25539,204, 2cefcc8bfc1cb5636633ca120f471cc37761be94,1783,474,547282,547, 28a9a235b6cecba439838d9dd92099ebfc0c2d3a,1571,414,504218, 504 ,60
orocos-toolchain/typelib, 27-Oct-2004, 20-Jan-2017,148,1923,30, e220595fa4cce756ee2517d1536ec04dcd915baf,49,87,18648,19, 4092381fa7f8c03b053cb4b0bddca4c40932634a,56,51,16929, 17 ,60
percona/percona-server, 31-Jul-2000, 28-Jun-2012,145,134440,943, 57c5564bb53bb9c46068b08846969383685ea60a,2033,2442,2465876,2466,1ceebf693b6f6a0a9917d17fefe272cbc8b0e088,824,1070,1061287," 1,061 ",60
quassel/quassel, 17-May-2006, 5-Sep-2017,137,4678,64, 0260fbe00ddbd1ce78b1870f40fce969b8f34ee5,233,244,91812,92, 24d1ad4c5918abf2f728cb98d556faef446c2d57,209,210,77559, 78 ,60
rime/librime, 17-Mar-2011, 16-Oct-2017,80,1265,12, 707738900168336a75219ae5fc69fa08cc71a4b8,609,525,469484,469, 85b4901a444cc754e2de7a9c7d722457567897ca,75,74,26518, 27 ,60
root-mirror/root, 16-May-2000, 18-Oct-2017,212,64947,326, e08b0c8495457c9affb2ff5cd8e169acbe905bd0,3644,5906,5018866,5019,02ceaf84ff0a5e7c206d342632a7fd1b48b41423,2407,4860,3745425," 3,745 ",60
sakra/cotire, 11-Mar-2012, 16-Jun-2017,64,166,55, 516d78476f6dda336181fc5514f72774e1e0a8e2,3,2,73,0, 1c37a8651b5ef848fd3dc038052334f337b3a404,3,2,73, 0 ,56
samstyle/Xpeccy, 1-Mar-2011, 3-Oct-2017,80,705,0, e3948f819d10575a30970f28b2c324b84496454b,32,60,15816,16, 74ac092a259a36fe18193d6e6cb28e902c1ed672,29,26,10736, 11 ,60
saschazelzer/CppMicroServices, 28-Feb-2012, 1-Jun-2017,63,1121,6, 3b81b03f7e438f8600d33d319f03747fc8d74cf2,165,146,63581,64, 5693d645cc0c6147d2f59d533c423b40faa92499,45,54,14917, 15 ,59
scross99/locic, 1-Feb-2011, 28-May-2017,76,2854,6, b4a1f9e83eb875c8cc906967205ae7639aa63cf5,248,297,113910,114, 0bf12d7ebb6c80f38f81891ee9470c6dea19c05b,29,77,13838, 14 ,61
simongog/sdsl-lite, 11-Feb-2012, 4-Oct-2017,68,2026,9, e681b5fe6f03224c1019ecce8268b767a9c9ba2f,244,171,150799,151, cf5821b1aa2b3fd9ba19570f5e92ba15e3575db2,219,187,245143, 245 ,59
spring/pr-downloader,24-Aug-10,3-Oct-17,85,982,10,7762cedb9d2fb6e0bcdf224d8627d61af4f13d8d,87,118,94121,94,2242e6b6fb451b771c5042bdf38390f968f4eeeb,48,65,51683, 52 ,58
stevenlovegrove/Pangolin, 19-Nov-2010, 12-Oct-2017,83,1601,3, 31fe1b416a6e4e833c272eb9a67a3333d755361a,103,161,54474,54, da62df163816e685d2fb3b91d913768d6b0ca58a,22,26,12086, 12 ,60
strasdat/Sophus, 6-Dec-2011, 14-Oct-2017,71,252,3, 3f84e42a7a796bb6c9a1f57f5708911459a49221,13,21,9100,9, 6e9c6f976f428a38abab187ef893512db3fbe17e,10,6,3569, 4 ,58
stuntrally/stuntrally, 19-Mar-2011, 25-Jul-2017,77,5694,18, 83e0d0abc341a4dd8e2a8da5df19afc8c5bd49a9,225,211,117402,117,b272ca782feffbe41e5d43d8ddb56688e397455e,301,369,187354, 187 ,60
supercollider/sc3-plugins, 20-Nov-2006, 11-Aug-2017,130,1050,8, 5342a4ae8842c7361517001866e986c437f50648,301,403,269205,269, c164af363d6866b29697d54cf91858cc4769d176,386,343,259189, 259 ,57
supercollider/supercollider, 6-Sep-2002, 6-Sep-2017,182,23142,83, cca12ff02a774a9ea212e8883551d3565bb24a6f,597,4300,1211700,1212, d74c81f9144f6f06ec79b40c87343f8a7a3890fe,610,3866,1123495," 1,123 ",60
supertuxkart/stk-code, 27-May-2007, 18-Oct-2017,126,19962,19, 1a9cf6a46f7ed1c152d8293f77bd929b4ec953bd,696,1050,564342,564, b1caec75a1d88b3797a73cdec121685fad7f1374,362,472,208537, 209 ,60
symengine/symengine, 10-Jul-2012, 4-Oct-2017,63,4862,3, 38781d745cab9bb45dd7358aa232031c8164eb44,157,86,93251,93, ecf1914df4a94fd0a56013238f5b6f5a7da4060f,17,27,11286, 11 ,63
syndicodefront/infekt, 25-Jan-2010, 3-Oct-2017,93,799,28, e9cb001894913d3694431c88c6461a895a64a7a9,60,54,24618,25, f0b561991b6a86ff16c79260da00930023d51fe1,47,45,21673, 22 ,60
taglib/taglib, 17-Feb-2004, 30-Sep-2017,165,2503,20, cb9f07d9dcd791b63e622da43f7b232adaec0a9a,148,115,59117,59, 2d7414733eaa3263868c74abfa6cff38a8afe8d3,135,99,46448, 46 ,60
texus/TGUI, 5-May-2012, 12-Jun-2017,62,2025,26, 9e52329250317940daf636987b0985ada97f1de4,103,68,68465,68, 14b5bbd03cefb1ff03be64468c2b072c9af6942f,24,24,25833, 26 ,60
thesamet/rpcz, 25-Nov-2011, 25-Mar-2017,64,230,0, f01f97d09bb4fd1253903bc2db3e3e9b7ebc4260,25,24,13956,14, 0aa3f0227e795b840e989fc4abb0152e996e4df6,25,24,13065, 13 ,61
thewtex/tmux-mem-cpu-load, 9-Sep-2009, 22-Apr-2017,92,270,15, 75b9ea756e60aadf335fd5514b38e4fe4cfcab6e,17,10,3897,4, c40ab82bfaf4671ff8ba42aa7e3816833dc871b4,3,1,2104, 2 ,53
tpaviot/oce, 10-Mar-2011, 11-Aug-2017,78,1971,36, 41cc5b9007769de58fd7323a3c1ba729f2c0dc44,165,135,1841066,1841, 5ef3473d401ff12fa1588d8f4bb89c2d3a68080e,154,148,1960617," 1,961 ",60
tumi8/vermont, 20-Mar-2005, 15-Jun-2017,148,1993,1, b70d4f2e6d56315db3a56f42d1dbcc1c584a33e5,182,217,58290,58, c2f170a89ae9dd909b6d38cef52a5c565f1c7ffa,178,214,56547, 57 ,56
ukoethe/vigra, 5-Sep-2000, 28-Jun-2017,204,5505,33, fb427440da8c42f96e14ebb60f7f22bdf0b7b1b2,27,5,82716,83, 5237e35507373218c38a7a57a131f0680f3e8a44,27,3,58575, 59 ,60
user-none/Sigil, 2-Aug-2009, 16-Oct-2017,99,4003,33, 18670a2ef9562b5ca1d3e0fb65e1fe9a1cb8e2ba,181,264,149470,149, 4d2586791f67e5042b81862483dedf35ae22474c,619,2739,806006, 806 ,60
vcmi/vcmi, 28-May-2007, 1-Nov-2016,114,7134,38, 8b5cbf6ba7ca3b5dcedd619c5267433b6734f1eb,215,238,163178,163,2848fb6fef18ea869eb0584627747475f200f309,138,158,121092, 121 ,58
vinipsmaker/tufao, 3-Oct-2011, 7-Aug-2016,59,823,56, 0832f657926b580877f9d707d9d766d35885e07d,100,98,35535,36, 09cbe4e23e793684bd382e56c11ac9cdae5611d0,103,121,34746, 35 ,58
wesnoth/wesnoth, 15-Sep-2003, 18-Oct-2017,171,76807,277, 9e58caa5ff608e845c21048d61fff3856d913a22,596,656,347539,348, 050fbf73706c1dbe6c86c3c784e7ef91984ecd00,495,542,285048, 285 ,60
xrootd/xrootd, 7-May-2004, 18-Oct-2017,163,8807,335, a26c586cf9dd002d7655e834df5365daa083c5da,495,544,319364,319, 945f0dbcacbaaa938acb922aa71ecb6cb6976bf2,410,427,239549, 240 ,61